STATE,REGION,URBAN,DENSITY,PCTWHITE,PCTBLACK,PCTNAM,PCTASIAN,TEENMOM,DOCTORS,POVERTY,MDFAMINC,UNEMPLY,HSGRAD,COLLGRAD,TURNOUT
NORTH DAKOTA  ,Midwest,52,9.299987793,92.39990234,0.599998474,4.899993896,0.599998474,9.199981689,220.3085938,12.79998779,42984,3,85.5,22.59997559,70.39990234
OHIO          ,Midwest,70.59985352,277.1992188,85,11.5,0.199999809,1.199996948,12.09997559,238.7773438,11.09997559,48984,4.099990845,87,24.59997559,59.19995117
OKLAHOMA      ,South,79.69995117,50.19995117,76.19995117,7.599990845,7.899993896,1.399997711,15.8999939,163.7006836,14.09997559,40354,3,86.09985352,22.5,59.59997559
OREGON        ,West,67.59985352,35.59997559,86.59985352,1.599998474,1.299999237,3,11.29998779,227.3354492,12.8999939,46278,4.899993896,88.09985352,27.19995117,66.59985352
PENNSYLVANIA  ,Northeast,60.89990234,274,85.39990234,10,0.099999905,1.799999237,9.899993896,290.0927734,9.799987793,48359,4.199996948,85.69995117,24.29998779,57.39990234
RHODE ISLAND  ,Northeast,93.29980469,1003.199219,85,4.5,0.5,2.299995422,10.19998169,328.3066406,10.19998169,53121,4.099990845,81.29980469,26.39996338,63.5
SOUTH CAROLINA,South,53.69995117,133.199707,67.19995117,29.5,0.299999237,0.899999619,15.29998779,213.2749023,12,43678,3.899993896,83,19,59.5
SOUTH DAKOTA  ,Midwest,44.19995117,9.899993896,88.69995117,0.599998474,8.299987793,0.599998474,11.59997559,190.5996094,9.399993896,44736,2.299995422,91.79980469,25.69995117,59.19995117
TENNESSEE     ,South,52.89990234,138,80.19995117,16.39996338,0.299999237,1,14.69998169,241.9838867,13.3999939,44168,3.899993896,79.89990234,22,53.69995117
TEXAS         ,South,67.79980469,79.59985352,71,11.5,0.599998474,2.699996948,15.29998779,200.6396484,14.8999939,45285,4.199996948,79.19995117,23.89996338,54.09997559
UTAH          ,West,78.39990234,27.19995117,89.19995117,0.799999237,1.299999237,1.699996948,8.899993896,198.6567383,8.099975586,51399,3.199996948,90.69995117,26.39996338,60.19995117
VERMONT       ,Northeast,37.59997559,65.79980469,96.79980469,0.5,0.399999619,0.899999619,8,327.3691406,10.29998779,47809,2.899993896,90,28.79998779,64.19995117
VIRGINIA      ,South,68.29980469,178.7998047,72.29980469,19.59997559,0.299999237,3.699996948,9.899993896,245.1425781,8.099975586,54601,2.199996948,86.59985352,31.89996338,60.29992676
WASHINGTON    ,West,74.19995117,88.5,81.79980469,3.199996948,1.599998474,5.5,10.19998169,239.6259766,9.5,54708,5.199996948,91.79980469,28.59997559,62
WEST VIRGINIA ,South,29.59997559,75.09985352,95,3.199996948,0.199999809,0.5,15.8999939,217.4199219,15.79998779,34465,5.5,77.09985352,15.29998779,52.39990234
WISCONSIN     ,Midwest,76,98.79980469,88.89990234,5.699996948,0.899999619,1.699996948,10.19998169,231.9511719,9,52614,3.5,86.69995117,23.79998779,70.09985352
WYOMING       ,West,56.59997559,5.099990845,92.09985352,0.799999237,2.299995422,0.599998474,13.5,171.4570313,11.09997559,46259,3.899993896,90,20.59997559,62.89990234
